id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Country,abbreviation,fullname
tm239933,7:19,MOVIE,"At 7:19 a.m., on September 19th of 1985, the most destructive earthquake hit Mexico City. Inside what's left of a building, a group of survivors fight for their lives waiting for rescue.",2016,NA,94,"['thriller', 'drama', 'history']",MX,NA,tt5979312,5.9,644,9.125,6.4,Mexico,,
tm40009,21,MOVIE,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",2008,PG-13,123,"['drama', 'crime', 'history', 'thriller']",US,NA,tt0478087,6.8,247039,40.786,6.7,United States,,
tm169719,42,MOVIE,"The powerful story of Jackie Robinson, the legendary baseball player who broke Major League Baseball?? color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers??general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.",2013,PG-13,128,"['drama', 'sport']",US,NA,tt0453562,7.5,93314,13.936,7.1,United States,,
tm473502,83,MOVIE,"On the 25th of June 1983, the Lord?? Cricket Ground witnessed one of the biggest underdog stories in the history of sports. Fourteen inspired players - led by a man's self-belief and conviction - fought against all odds and orchestrated India?? greatest sporting triumph by beating the two-time World Champions West Indies.",2021,NA,163,"['drama', 'history', 'sport']",IN,NA,tt7518786,7.4,23781,5.625,6.8,India,SI,Slovenia
tm405637,122,MOVIE,"During a bloody night, a young man and his lover are struggling, not to get to the hospital, but to escape and survive.",2019,R,95,"['horror', 'thriller']",EG,NA,tt7867670,6.2,5530,2.923,5.9,Egypt,,
tm317542,1922,MOVIE,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",2017,NA,102,"['horror', 'crime', 'documentation', 'drama', 'thriller']",US,NA,tt8312644,6.2,60982,17.567,5.9,United States,,
tm1011248,30-Mar,MOVIE,"Ali, the fugitive from a murder he does not even know whether he committed it or not, sets out to uncover truth with the help of his friend, the lawyer and his neighbor. Over time, he finds himself embroiled in cases much more dangerous than he imagined, making him on the verge of insanity or murder.",2021,NA,99,"['drama', 'thriller', 'crime']",,NA,tt13694540,4.4,96,NA,NA,#N/A,,
tm348993,22-Jul,MOVIE,"In Norway on 22 July 2011, neo-Nazi terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Ut?ya Island outside of Oslo. This three-part story will focus on the survivors of the attacks, the political leadership of Norway, and the lawyers involved.",2018,R,143,"['thriller', 'history', 'crime', 'drama', 'european']",NO,NA,tt7280898,6.8,33246,19.825,7.2,Norway,,
tm461427,15-Aug,MOVIE,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",2019,NA,124,"['romance', 'comedy', 'drama']",IN,NA,tt9817300,5.8,273,1.911,7,India,,
tm197423,1-Oct,MOVIE,"Its September 1960, and with Nigeria on the verge of independence from British colonial rule, a northern Nigerian Police Detective, DAN WAZIRI, is urgently despatched by the Colonial Government to the trading post town of Akote in the Western Region of Nigeria to solve a series of female murders that have struck horror in the hearts and minds of the local community. On getting to Akote, more murders are committed, and with local tension high and volatile, Waziri has a race on his hands to solve the case before even more local women are killed. Set against the backdrop of the national celebratory mood of the impending independence, Waziri is pulled into a game of cat and mouse as he and the killer try to outwit each other...",2014,PG-13,149,['thriller'],NG,NA,tt3206616,6.4,424,3.018,6.2,Nigeria,,
